SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit
(She's Got) SkillzAll-4-One,No Explicit Content,245066,34,0.942,0.595,G#/Ab,-9.781,minor,0.0458,0.152,0.000142,0.0861,0.958,100.41,4,0
(She's Just A) Fallen AngelStarz,No Explicit Content,212813,9,0.423,0.908,C#/Db,-3.467,major,0.0823,0.00152,0.000222,0.112,0.387,114.248,4,0
(Sittin' On) The Dock Of The BayKing Curtis & The Kingpins,No Explicit Content,161573,6,0.729,0.125,D,-21.263,major,0.0318,0.266,0.662,0.101,0.65,104.93,4,0
(Sittin' On) The Dock Of The BayMichael Bolton,No Explicit Content,231240,39,0.464,0.525,D,-13.806,major,0.0566,0.192,7.23E-6,0.268,0.565,178.352,4,0
(Sittin' On) The Dock Of The BayOtis Redding,No Explicit Content,163755,73,0.769,0.367,D,-11.226,major,0.0312,0.684,0.0000162,0.081,0.535,103.621,4,1
(Sittin' On) The Dock Of The BaySammy Hagar,No Explicit Content,182466,12,0.655,0.52,B,-10.262,minor,0.0292,0.0981,0,0.104,0.759,110.824,4,0
(Sittin' On) The Dock Of The BaySergio Mendes & Brasil '66,No Explicit Content,191760,26,0.732,0.336,D,-13.925,major,0.0357,0.828,0.000011,0.114,0.603,110.842,4,0
(Sittin' On) The Dock Of The BayThe Reddings,No Explicit Content,163000,9,0.724,0.585,G,-6.739,major,0.03,0.0582,0.00285,0.104,0.471,104.761,4,0
(Sweet Sweet Baby) Since You've Been GoneAretha Franklin,No Explicit Content,145264,47,0.708,0.67,Eb,-8.142,major,0.029,0.471,0.0314,0.0631,0.94,117.149,4,0
(That's) What The Nitty Gritty IsShirley Ellis,No Explicit Content,154760,20,0.6,0.912,C#/Db,-4.781,major,0.181,0.133,0,0.48,0.824,128.767,4,0
(The Bees Are For The Birds) The Birds Are For The BeesThe Newbeats,No Explicit Content,133706,2,0.483,0.478,F#,-13.621,major,0.0789,0.749,0,0.258,0.913,170.401,4,0
(The Best Part Of) Breakin' UpThe Ronettes,No Explicit Content,184346,27,0.49,0.729,D,-9.046,major,0.0481,0.403,0.00259,0.124,0.546,105.273,4,0
(The Lament Of The Cherokee) Indian ReservationDon Fardon,No Explicit Content,201200,14,0.805,0.473,Bb,-12.999,major,0.0507,0.24,0.00516,0.177,0.519,124.618,4,0
(The Lights Went Out In) MassachusettsBee Gees,No Explicit Content,176320,5,0.404,0.498,D,-8.227,major,0.0278,0.149,0.00068,0.551,0.381,104.05,4,0
(The Man Who Shot) Liberty ValanceGene Pitney,No Explicit Content,178440,41,0.602,0.591,C#/Db,-8.684,minor,0.053,0.739,0,0.175,0.837,88.395,4,0
(The Puppet Song) Whiskey On A SundayThe Irish Rovers,No Explicit Content,160800,11,0.692,0.447,E,-10.839,major,0.0323,0.587,0,0.109,0.557,121.961,4,0
(The System Of) Doctor Tarr And Professor FetherThe Alan Parsons Project,No Explicit Content,260852,40,0.502,0.699,Bb,-7.691,major,0.0301,0.313,0,0.151,0.653,85.212,4,0
(Theme From) Any Number Can WinJimmy Smith,No Explicit Content,131573,10,0.689,0.89,C,-6.274,major,0.03,0.655,0.883,0.368,0.963,97.863,4,0
(Theme From) Valley Of The DollsDionne Warwick,No Explicit Content,218840,36,0.23,0.273,F,-13.277,major,0.0352,0.871,2.21E-6,0.059,0.0868,74.919,4,0
(Theme from) My Three SonsLawrence Welk And His Orchestra,No Explicit Content,122600,7,0.365,0.796,C,-5.441,major,0.0352,0.304,0.936,0.0562,0.954,80.468,4,0
(There Was A) Tall Oak TreeDorsey Burnette,No Explicit Content,125946,2,0.602,0.411,G,-10.841,major,0.0558,0.463,0,0.235,0.719,134.25,4,0
(There's Gotta Be) More To LifeStacie Orrico,No Explicit Content,200386,56,0.58,0.922,C#/Db,-3.785,major,0.0958,0.0917,0,0.189,0.649,89.841,4,0
(There's No Place Like) Home For The HolidaysPerry Como,No Explicit Content,171333,66,0.69,0.189,C,-12.797,major,0.0316,0.897,0,0.133,0.735,78.042,4,0
(There's) Always Something There To Remind MeDionne Warwick,No Explicit Content,179506,40,0.68,0.328,F,-13.69,major,0.0673,0.737,0,0.581,0.821,84.04,4,0
(There's) Always Something There To Remind MeLou Johnson,No Explicit Content,193973,25,0.574,0.469,Bb,-8.163,major,0.0621,0.472,0,0.0742,0.746,77.801,4,0
(There's) Always Something There To Remind MeSandie Shaw,No Explicit Content,166133,49,0.581,0.395,G#/Ab,-8.553,major,0.0449,0.747,0,0.0696,0.695,86.119,4,0
(There's) No Gettin' Over MeRonnie Milsap,No Explicit Content,199680,51,0.595,0.447,C#/Db,-10.342,minor,0.0323,0.627,0.000586,0.3,0.787,200.528,4,0
(They Long To Be) Close To YouCarpenters,No Explicit Content,276000,61,0.533,0.245,G#/Ab,-14.652,major,0.0326,0.707,0.0000421,0.122,0.236,89.328,4,1
(They Long To Be) Close To YouJerry Butler & Brenda Lee Eager,No Explicit Content,251906,12,0.441,0.202,C,-16.412,major,0.0366,0.759,0.00017,0.28,0.326,108.105,3,0
(Today I Met) The Boy I'm Gonna MarryDarlene Love,No Explicit Content,166053,50,0.353,0.703,C#/Db,-5.847,minor,0.0583,0.54,0.0641,0.91,0.608,100.076,4,0
(Want You) Back In My Life AgainCarpenters,No Explicit Content,220506,33,0.802,0.539,D,-12.488,minor,0.0356,0.103,0.0000118,0.0699,0.852,127.118,4,0
(We Ain't Got) Nothin' YetBlues Magoos,No Explicit Content,135746,37,0.417,0.876,Bb,-8.112,major,0.0499,0.584,0,0.1,0.858,148.399,4,0
(We'll Be) UnitedThe Intruders,No Explicit Content,171133,28,0.463,0.493,C,-7.63,major,0.0249,0.363,0,0.567,0.365,90.609,4,0
(We've Got) Honey LoveMartha Reeves & The Vandellas,No Explicit Content,149133,10,0.718,0.652,C#/Db,-7.51,major,0.154,0.492,0.000135,0.152,0.649,116.764,4,0
(Welcome) New LoversPat Boone,No Explicit Content,135735,4,0.582,0.438,G#/Ab,-16.499,major,0.0388,0.927,0.762,0.511,0.837,119.192,4,0
(What A Sad Way) To Love SomeoneRal Donner,No Explicit Content,179957,2,0.61,0.232,Eb,-17.007,major,0.0287,0.86,0.0000721,0.106,0.539,79.108,4,0
(When You Gonna) Give It Up To MeSean Paul Featuring Keyshia Cole,No Explicit Content,243880,47,0.711,0.761,G#/Ab,-3.04,major,0.225,0.067,0,0.041,0.718,95.824,4,0
(Where Do I Begin) Love StoryAndy Williams,No Explicit Content,189066,57,0.259,0.473,F#,-10.187,major,0.0324,0.512,1.5E-6,0.4,0.232,84.897,4,0
(Wish I Could Fly Like) SupermanThe Kinks,No Explicit Content,214733,42,0.772,0.669,C#/Db,-11.239,minor,0.0444,0.0373,0.0000205,0.0854,0.96,123.39,4,0
(You Can Still) Rock In AmericaNight Ranger,No Explicit Content,255160,47,0.382,0.772,B,-12.687,minor,0.0544,0.000397,0.0000762,0.166,0.619,164.754,4,0
(You Can't Let The Boy Overpower) The Man In YouChuck Jackson,No Explicit Content,186146,12,0.693,0.398,Bb,-15.016,minor,0.0436,0.0234,0,0.297,0.8,94.646,4,0
